V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241621,V243052
227741,2,2,1,2,1,2,1,2,2,2,4,4,4,2,5,2,5,5,2,2,2,15,60,0,15,60,4,5,5,4,2,2,2,3,4,3,1,1,1,2,2,4,4,1,1,2,SOA
227795,4,2,1,2,1,2,2,5,2,3,4,2,2,2,3,2,3,2,1,2,1,10,50,30,25,70,4,5,3,4,4,2,5,2,5,4,1,2,1,4,2,1,4,1,1,2,SOA
228048,4,1,1,1,1,1,1,1,1,3,2,1,2,2,2,2,3,1,1,1,1,100,0,90,85,40,1,1,1,1,1,5,5,5,5,5,1,1,1,3,2,3,3,2,1,2,SOA
228161,2,2,1,4,1,2,1,2,2,2,3,4,1,1,3,1,3,2,2,2,2,40,100,0,50,100,5,5,5,5,5,1,1,1,2,2,1,1,1,2,5,4,3,1,1,1,SOA
228179,2,1,1,1,1,1,1,1,5,3,4,4,2,3,5,3,5,4,1,1,1,85,0,60,70,30,2,1,1,2,1,5,5,5,5,2,1,1,1,2,2,4,2,2,1,4,SOA
228197,3,2,1,2,1,2,1,2,1,4,2,1,1,2,4,2,1,1,2,2,2,15,60,45,65,70,5,5,4,4,2,3,3,3,4,3,1,1,1,3,4,1,2,1,1,1,SOA
228309,2,2,1,2,1,2,1,2,2,2,5,4,4,1,5,1,4,4,2,2,2,15,70,30,15,70,5,4,5,4,2,1,3,2,4,3,1,1,2,4,2,1,5,2,1,2,SOA
229185,2,2,1,5,1,2,1,5,5,1,5,4,4,1,5,1,4,5,2,2,2,5,90,5,15,85,5,5,5,5,1,1,2,2,2,1,2,1,1,4,3,1,3,1,1,3,SOA
229736,3,1,2,5,1,2,1,5,5,3,2,2,3,3,2,3,2,2,2,1,1,40,70,40,60,80,4,4,4,4,4,3,3,3,3,2,2,2,2,3,4,1,2,2,1,2,SOA
230004,2,2,1,5,1,2,1,2,5,3,3,4,4,1,4,1,4,3,2,2,2,15,85,15,30,85,5,4,5,5,3,2,1,2,2,1,1,1,2,3,2,1,5,2,1,2,SOA
230261,3,1,1,1,1,1,2,1,1,3,3,3,3,2,3,2,4,2,1,1,1,85,0,85,70,15,2,2,2,2,2,5,5,5,5,5,2,1,2,3,3,1,3,2,1,2,SOA
230337,2,2,1,2,1,2,1,2,2,1,4,5,5,1,5,1,5,4,2,2,2,0,85,15,15,85,5,5,5,5,2,2,2,1,3,2,1,1,1,3,2,1,4,1,1,1,SOA
230515,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,85,0,70,85,60,2,1,2,2,1,5,5,5,5,2,2,1,2,4,3,1,4,2,1,3,SOA
230556,4,2,1,5,1,2,1,2,2,2,3,3,3,2,5,2,5,3,2,2,2,0,85,0,90,30,5,5,5,5,5,1,2,1,2,1,2,1,1,3,4,4,3,2,1,3,SOA
230745,4,1,1,1,1,2,3,5,5,1,5,4,4,1,4,1,4,5,2,2,1,0,85,0,15,100,5,5,4,5,3,1,2,2,3,3,2,1,1,2,3,1,3,1,1,3,SOA
230751,2,2,1,5,1,1,2,1,5,4,4,3,4,3,3,3,4,4,1,2,2,60,0,100,60,40,3,3,3,3,3,5,5,5,5,4,1,1,1,3,2,1,4,1,1,4,SOA
230984,3,1,1,1,1,1,2,1,1,3,1,1,1,3,2,3,1,1,2,1,1,85,0,60,70,50,2,2,2,2,2,5,5,5,5,5,1,1,2,4,2,1,5,1,3,4,SOA
231042,1,1,1,2,1,1,1,2,2,3,3,2,3,3,3,3,3,3,2,2,1,60,0,50,50,70,4,4,4,4,3,5,5,4,5,5,1,1,1,4,3,1,5,2,1,1,SOA
231525,4,2,1,2,1,2,1,2,2,1,3,2,2,1,4,1,2,3,2,2,2,0,90,10,10,100,5,5,5,5,1,1,3,1,3,3,1,1,1,2,4,1,3,2,1,3,SOA
315948,1,2,1,5,1,2,1,2,2,1,5,5,4,1,5,1,4,5,2,2,2,30,85,15,15,70,5,4,5,5,3,1,1,3,3,1,1,1,1,3,3,4,3,1,1,3,SOA
317855,3,1,1,5,1,2,1,2,2,3,3,2,2,1,3,1,3,3,2,2,2,15,70,15,50,50,5,5,5,5,4,2,3,2,4,2,1,1,2,3,2,4,4,2,1,4,SOA
319143,4,1,1,5,1,1,2,5,5,3,3,2,2,2,5,3,2,5,2,2,2,60,15,60,60,40,4,3,3,3,4,4,5,4,5,4,2,1,1,3,2,6,2,1,1,3,SOA
