V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
320049,2,2,1,5,1,2,1,2,2,1,2,2,3,1,2,1,3,2,2,2,2,30,60,5,4,5,4,2,2,2,3,2,2,1,1,1,4,2,1,3,1,6,0,200970,1,SW
326882,3,2,1,5,1,2,4,2,2,1,3,1,1,1,5,1,1,5,2,2,2,30,15,5,5,4,5,5,2,1,2,4,2,2,1,1,2,4,6,2,1,1,0,10633,2,SW
327609,1,1,1,5,1,1,1,1,1,3,5,3,3,1,5,1,5,4,1,1,1,60,30,1,3,2,2,1,4,5,5,5,4,3,1,2,4,2,1,5,2,1,0,106390,2,SW
327856,4,1,1,1,1,1,2,1,5,2,3,3,3,3,4,2,3,3,2,1,2,40,30,4,3,2,3,3,3,2,4,5,2,1,1,1,3,2,6,4,1,1,0,110,2,SW
328840,3,1,1,4,1,1,1,5,5,4,2,1,2,2,3,3,3,2,1,1,1,50,50,3,3,2,3,4,5,5,4,5,3,2,1,1,2,2,6,2,1,1,1,89296,3,SW
330886,4,1,1,1,1,2,1,5,5,3,5,3,3,1,3,1,4,5,2,1,2,100,100,4,3,5,4,3,3,4,3,3,1,1,1,1,3,4,6,2,2,2,1,6178,3,SW
332272,1,1,1,5,1,1,1,1,1,4,2,1,1,4,2,4,2,3,1,1,1,85,5,2,1,1,1,1,5,5,5,5,5,2,1,2,4,2,1,4,2,1,0,98781,1,SW
332332,3,2,1,2,1,2,1,2,2,3,4,4,3,3,4,2,5,2,2,2,-8,30,85,5,4,4,4,3,1,3,3,2,2,2,1,1,2,3,1,2,1,1,0,182619,2,SW
332687,3,2,1,5,1,2,1,5,5,1,3,4,4,1,4,1,4,3,2,2,2,40,85,5,5,5,5,4,1,1,2,3,3,1,2,1,4,4,6,2,2,3,0,32221,2,SW
333673,4,2,1,5,1,2,4,5,5,3,3,5,3,1,5,1,3,3,2,2,2,50,50,5,5,5,5,3,4,4,3,3,3,3,1,1,2,2,6,2,1,1,1,79930,1,SW
335043,4,1,1,5,1,1,2,1,5,3,3,3,3,2,3,2,3,4,2,2,2,50,50,3,3,3,3,2,5,5,5,4,4,2,1,2,3,3,6,2,1,2,0,85031,2,SW
341846,2,1,1,4,1,1,1,1,1,4,5,5,3,1,5,5,5,5,1,1,1,85,15,2,2,2,2,1,5,5,5,5,5,1,1,1,3,2,1,5,2,6,0,87162,2,SW
342810,1,1,1,5,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,65,30,3,3,1,3,4,5,5,5,5,1,2,2,2,4,4,1,3,1,1,2,438541,1,SW
345831,3,1,1,5,1,1,1,1,1,4,2,1,1,4,2,4,3,3,1,1,1,60,40,3,2,2,3,2,4,5,5,5,5,1,2,2,3,2,1,2,1,3,0,212403,1,SW
347066,1,2,1,5,1,2,1,2,2,2,3,3,4,2,4,2,4,3,2,2,2,5,55,5,4,3,5,1,2,2,2,2,2,1,1,1,2,2,1,5,2,1,3,244264,2,SW
347472,1,1,1,5,1,1,1,1,1,4,1,3,3,3,1,3,3,2,1,2,1,85,40,3,2,3,2,1,5,5,5,5,4,1,1,2,4,2,1,5,1,3,0,88569,1,SW
348761,3,1,1,5,1,1,1,5,1,4,2,2,3,3,3,3,2,2,1,2,2,70,50,2,2,3,3,4,3,5,5,5,5,2,2,2,4,3,1,2,2,3,3,47877,3,SW
349373,3,2,1,5,1,2,2,2,2,1,5,4,5,1,5,1,5,4,2,2,2,15,85,5,5,5,5,5,1,3,3,1,1,1,1,1,1,3,1,2,1,1,0,88268,3,SW
350963,2,2,1,2,1,2,2,2,5,2,3,3,3,1,3,2,1,3,2,2,2,15,85,5,5,5,5,3,2,2,2,2,2,1,1,1,3,3,1,1,2,1,0,38767,3,SW
352538,2,1,1,5,1,1,1,1,5,4,3,3,1,3,2,3,2,3,1,1,1,100,50,2,1,2,2,1,5,5,5,5,1,1,2,2,4,3,6,2,1,2,2,82630,1,SW
356884,2,2,1,5,1,2,2,2,5,2,3,3,3,1,4,1,4,4,2,2,2,40,55,4,4,3,4,3,2,4,3,4,3,2,1,1,3,2,6,4,1,1,0,68806,3,SW
365029,3,1,1,5,1,1,1,1,5,3,4,3,3,3,3,3,3,4,2,1,1,85,15,3,2,2,2,3,5,5,5,5,3,2,1,1,4,4,6,4,1,1,0,7882,2,SW
367246,3,1,2,5,1,2,3,5,5,4,4,2,2,1,4,2,3,3,2,2,2,20,60,5,5,5,4,5,2,1,1,5,1,2,1,1,3,2,4,4,2,1,0,25592,2,SW
368013,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,30,100,5,5,5,5,1,1,1,2,2,1,1,1,3,3,2,4,4,1,2,0,21926,2,SW
369742,1,2,1,5,1,2,1,2,2,4,1,1,3,3,1,3,2,1,2,2,2,15,60,5,3,4,4,2,2,4,2,4,4,1,1,1,3,2,1,4,2,1,0,79165,1,SW
373727,3,2,1,5,1,2,1,2,2,1,3,2,2,1,3,1,3,3,2,2,2,60,70,4,2,2,3,1,1,4,1,3,3,1,1,1,2,4,1,4,1,1,0,30746,1,SW
