V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
363438,3,1,1,4,1,1,1,1,1,3,3,2,4,3,4,2,3,3,1,1,1,65,5,2,3,2,2,2,5,5,4,5,2,2,1,1,3,2,6,4,1,1,0,171473,2,NE
365805,4,1,1,1,1,2,1,2,2,2,4,3,3,2,4,2,3,3,2,2,-8,60,70,4,5,3,2,3,3,2,2,3,2,1,1,1,3,2,1,3,1,1,0,34362,2,NE
368739,2,1,1,1,1,1,1,1,1,4,2,3,3,3,3,2,2,2,1,2,1,60,40,2,2,2,2,2,3,4,4,4,4,2,1,1,3,2,3,3,2,3,0,42517,2,NE
369260,3,1,1,2,1,2,1,2,2,1,4,4,4,1,5,1,4,4,2,2,2,25,75,5,5,4,5,3,1,2,1,4,3,1,2,2,4,2,1,5,1,1,0,220302,3,NE
374556,2,1,1,1,1,1,1,1,1,4,3,3,2,3,3,3,3,3,1,2,1,70,30,2,3,2,3,2,5,5,3,5,3,2,1,1,3,2,1,5,1,1,2,264674,2,NE
375641,3,2,1,1,1,1,1,1,1,3,1,2,1,3,3,3,2,2,1,2,1,70,40,3,2,2,2,3,4,4,4,4,3,1,1,2,3,2,4,2,2,1,0,50028,1,NE
377378,2,1,1,1,1,1,1,1,1,3,3,4,4,2,5,2,3,4,1,2,2,40,15,2,3,3,3,3,5,5,5,5,4,1,1,1,3,2,1,5,1,1,0,116811,2,NE
378378,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,3,2,2,1,1,1,85,15,2,2,2,3,2,5,5,5,5,5,1,1,1,4,3,1,6,1,1,0,401068,2,NE
379572,4,1,1,2,1,2,1,2,2,2,1,1,1,3,3,1,2,3,2,2,2,20,85,5,4,4,5,4,3,3,3,4,3,1,1,1,3,3,1,4,1,1,0,316839,2,NE
395987,4,1,2,5,1,1,3,5,5,3,3,3,3,3,3,3,3,3,2,1,1,85,50,3,3,2,3,3,1,5,3,4,1,2,1,1,3,4,6,4,1,2,1,66125,4,NE
396470,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,1,3,2,1,1,55,30,4,4,2,3,4,4,5,4,5,4,2,1,1,3,2,1,6,1,1,0,196860,1,NE
